ERR7599223,18,P_australe,,>ERR7599223,9,">ERR7599223,9",>ERR7599223
carolinianum_45_S,"46-48, 52",carolinianum,,>carolinianum_45_S,23=0.3333_24=0.3333_26=0.3333,">carolinianum_45_S,23=0.3333_24=0.3333_26=0.3333",9
robertianum_47_U,"32, 52, 54, 56, 64",robertianum,,>robertianum_47_U,16=0.20_26=0.20_27=0.20_28=0.20_32=0.20,">robertianum_47_U,16=0.20_26=0.20_27=0.20_28=0.20_32=0.20",>robertianum_47_U
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
